trial_count,FB,c_dis,context,response,rt,state,stim,trial_count,ts,con_ts,con_stim,curr_ts,switch
107,0,"{'mean': -0.29999999999999999, 'sd': 0.37}","[0.1319690774200209, 0.1319690774200209, 0.1319690774200209]",2,0.5026965111028403,0,0,107,"[[1, 0, 0, 0], [0, 1, 0, 0]]",False,True,1,False
108,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.5612484394354699, -0.5612484394354699, -0.5612484394354699]",0,0.502487679827027,0,0,108,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,True
109,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.16090548669666868, -0.16090548669666868, -0.16090548669666868]",0,0.5026318090967834,0,0,109,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
110,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.5743322919614513, -0.5743322919614513, -0.5743322919614513]",0,0.502154799294658,0,0,110,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
111,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.39487398222797665, -0.39487398222797665, -0.39487398222797665]",1,0.5058566454099491,0,1,111,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
112,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.000947415150279296, -0.000947415150279296, -0.000947415150279296]",1,0.5026817858451977,0,1,112,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
113,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-1, -1, -1]",1,0.502107499865815,0,1,113,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
114,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[0.04572368899495849, 0.04572368899495849, 0.04572368899495849]",0,0.5028049426618963,0,0,114,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
115,0,"{'mean': -0.29999999999999999, 'sd': 0.37}","[0.56919401419836, 0.56919401419836, 0.56919401419836]",3,0.5022810797672719,0,1,115,"[[1, 0, 0, 0], [0, 1, 0, 0]]",False,True,1,True
116,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.7473352882148583, -0.7473352882148583, -0.7473352882148583]",1,0.5022511829156429,0,1,116,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,True
