trial_count,FBDuration,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient,subj_switch,correct
164,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,3,1.2217750549316406,1,"(0, 3)",164,0,False,False,False,True,True,False
165,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,2,0.5871891975402832,0,"(1, 2)",165,1,False,True,False,True,False,True
166,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,2,0.5926198959350586,0,"(0, 2)",166,1,True,False,False,True,False,True
167,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-1.0,3,0.5102691650390625,0,"(0, 3)",167,1,False,False,False,True,False,True
168,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,3,0.6280460357666016,0,"(1, 3)",168,1,True,False,False,True,False,True
169,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.9000000000000001,2,0.5412039756774902,0,"(1, 2)",169,1,False,False,False,True,False,True
170,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.44182586669921875,1,"(1, 2)",170,0,True,True,False,True,False,False
171,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5310430526733398,1,"(1, 2)",171,0,True,False,False,True,False,False
172,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.5,3,0.48680996894836426,1,"(1, 3)",172,0,False,False,False,True,False,False
173,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,3,0.6765139102935791,1,"(1, 3)",173,0,True,False,False,True,False,False
174,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.5,1,0.8351309299468994,0,"(1, 3)",174,1,False,True,True,False,True,False
175,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,2,0.6416468620300293,0,"(1, 2)",175,1,False,False,False,True,True,True
176,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,3,0.500601053237915,0,"(1, 3)",176,1,False,False,False,True,False,True
177,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,3,0.5225200653076172,0,"(1, 3)",177,1,True,False,False,True,False,True
178,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,3,0.611767053604126,0,"(0, 3)",178,1,True,False,False,True,False,True
179,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,3,0.5229549407958984,0,"(1, 3)",179,1,True,False,False,True,False,True
180,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,3,0.7206559181213379,0,"(0, 3)",180,1,True,False,False,True,False,True
181,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.6568059921264648,1,"(1, 3)",181,0,True,True,False,True,False,False
