trial_count,FBDuration,actualFBOnsetTime,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient,subj_switch,correct
111,0.5,0.5114438533782959,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.33175110816955566,0,"(1, 3)",111,0,True,False,True,False,False,True
112,0.5,0.5011179447174072,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.45958495140075684,0,"(0, 3)",112,0,False,False,True,False,False,True
113,0.5,0.5011849403381348,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.33480000495910645,1,"(1, 3)",113,1,True,True,False,False,True,False
114,0.5,0.501121997833252,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.31053686141967773,1,"(0, 2)",114,1,True,False,True,False,True,False
115,0.5,0.501072883605957,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,0,0.377269983291626,1,"(1, 3)",115,1,True,False,False,False,True,False
116,0.5,0.5009560585021973,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.39618992805480957,1,"(1, 2)",116,1,True,False,False,False,False,False
117,0.5,0.5002520084381104,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.30950307846069336,1,"(1, 3)",117,1,True,False,False,False,False,False
118,0.5,0.5011658668518066,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.29049205780029297,0,"(0, 3)",118,0,True,True,True,False,True,True
119,0.5,0.5001940727233887,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.33774900436401367,0,"(1, 2)",119,0,False,False,True,False,False,True
120,0.5,0.5012049674987793,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.27489304542541504,0,"(1, 2)",120,0,True,False,True,False,False,True
121,0.5,0.5011250972747803,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.48888587951660156,0,"(1, 3)",121,0,False,False,False,False,True,False
122,0.5,0.5010859966278076,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,1,0.368380069732666,0,"(0, 2)",122,0,False,False,False,False,False,False
123,0.5,0.5012049674987793,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.4076519012451172,0,"(0, 3)",123,0,True,False,False,False,False,False
124,0.5,0.500999927520752,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,0,0.4163668155670166,1,"(0, 3)",124,1,False,True,True,False,True,False
125,0.5,0.5010759830474854,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.3325531482696533,1,"(0, 3)",125,1,True,False,True,False,False,False
126,0.5,0.5010778903961182,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.43605589866638184,1,"(1, 2)",126,1,False,False,True,False,False,False
127,0.5,0.5012259483337402,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.347912073135376,0,"(0, 2)",127,0,True,True,False,False,True,False
128,0.5,0.5004189014434814,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.5286848545074463,0,"(1, 3)",128,0,True,False,True,False,True,True
129,0.5,0.500607967376709,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,1,0.32779502868652344,1,"(0, 2)",129,1,True,True,False,False,True,False
130,0.5,0.5011849403381348,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,1,0.5036380290985107,1,"(1, 2)",130,1,True,False,True,False,True,False
131,0.5,0.501032829284668,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,0,0.3891899585723877,1,"(0, 3)",131,1,False,False,True,False,False,False
132,0.5,0.5010731220245361,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,0,0.31785011291503906,1,"(0, 3)",132,1,True,False,True,False,False,False
133,0.5,0.5011811256408691,"{'mean': 0.29999999999999999, 'sd': 0.37}",1.0,0,0.3631010055541992,1,"(1, 3)",133,1,True,False,False,False,True,False
134,0.5,0.5012080669403076,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,1,0.40037989616394043,1,"(1, 3)",134,1,False,False,True,False,True,False
135,0.5,0.501194953918457,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.3914530277252197,1,"(1, 2)",135,1,False,False,False,False,True,False
136,0.5,0.5010948181152344,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.4042239189147949,1,"(0, 3)",136,1,False,False,False,False,False,False
