trial_count,FB,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient,correct
148,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5,1,"(1, 2)",148,1,False,False,False,True,True
149,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.9000000000000001,1,0.5,1,"(1, 3)",149,0,False,True,True,False,True
150,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.9000000000000001,1,0.5,1,"(1, 2)",150,0,True,False,True,False,True
151,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5,1,"(1, 3)",151,0,True,False,True,False,True
152,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,1,"(1, 2)",152,0,True,False,True,False,True
153,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,1,0.5,1,"(1, 2)",153,0,True,False,True,False,True
154,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5,1,"(0, 3)",154,0,False,False,True,False,True
155,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,0,0.5,1,"(0, 2)",155,0,True,False,True,False,True
156,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,1,"(1, 3)",156,0,False,False,True,False,True
157,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,1,"(0, 2)",157,0,False,False,True,False,True
158,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,1,"(0, 2)",158,0,True,False,True,False,True
159,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,1,"(0, 3)",159,0,True,False,True,False,True
160,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,1,"(0, 2)",160,0,True,False,True,False,True
161,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,0,0.5,1,"(0, 2)",161,0,True,False,True,False,True
